number,publication,source_note,citation,article_id,citation_format,author,title,volume_number,issue_number,day,month,year,date,publisher,location,editor
311,Cortland (NY) Standard,"The Cortland Standard (1867-current) is a newspaper founded by Francis G. Kinney out of Cortland, New York; it was founded as weekly but began publishing daily in 1892. William H. Clark ran the paper from 1876-1928. Cortland was known for its wire, nail, and steel manufacturing in the first half of the twentieth century.","""History,"" Cortland Standard, accessed October 23, 2016, http://cortlandstandard.net/w/history/. ""Industry,"" Cortland, NY, City of Cortland, accessed October 23, 2016.",CortlandStandard1926,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,""",,no. 239,10,December,1926,1926-12-10,,"Cortland, New York",
66,Council Grove (KS) Republican,"The Council Grove Republican (1879-current) is a newspaper founded by Frank A. Moriarty; it was a consolidation of two newspapers, the Council Grove Democrat and the Republican, both out of the county seat of Morris County, Kansas. The paper had a circulation of around 600 when it started. The city of Council Grove had a population of 1,042 in 1880.","""About The Council Grove Republican. (Council Grove, Kan.) 1879-1924,"" Chronicling America, accessed 20 March 2016. Lalla Maloy Brigham, The Story of Council Grove on the Santa Fe Trail (n.p.: 1921), accessed 20 March 2016, eBook. Pettengill’s Newspaper Directory (New York: S. M. Pettengill & Co., 1878), accessed 20 March 2016, eBook.",TheCouncilGroveRepublican1879,newspaper-article,,"""A Feminine Crusoe. Alone on a Dreary Desert Island for 18 Years.""","49,",21 (whole no. 703):,22,February,1879,1879-02-22,,"Council Grove, Kansas",
70,Crawfordsville (IN) Daily Argus News,"The Daily Argus News (1885-1900) was a Democratic newspaper founded by S. M. Coffman and W. E. Rosebro, who merged the Argus (founded 1882) and Daily News (1883), both out of Crawfordsville, Indiana. It was a democratic newspaper. Crawfordsville had a population of 6,089 in 1890.","""About The daily argus news. (Crawfordsville, Ind.) 1885-1900,"" Chronicling America, accessed June 17, 2016. Herman Fred Shermer, ""A History of Publishing in Montgomery County, Indiana, 1831-1940,"" Indiana Magazine of History, accessed June 17, 2016. ""Newspapers in Montgomery County,"" USGenWeb Project, accessed June 17, 2016.  U.S. Census Bureau, ""1890 Census,"" accessed June 17, 2016, PDF.",TheDailyArgusNews1889,newspaper-article,,"""A Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years.""","7,",283,2,April,1889,1889-04-02,,"Crawfordsville, Indiana",
73,McKinney (TX) Daily Courier-Gazette,"The Daily Courier Gazette (1906-current) is a daily newspaper out of McKinney, Texas; it was founded by Tom W. Perkins and Walter B. Wilson, as a combination of the newspapers that they owned, the Courier and the Gazette, respectively. The partners ran the paper together until Wilson’s death in 1939. McKinney, a town north of Dallas (pop. 6,677 in 1920), was a regional business hub during the first part of the twentieth century.","""About McKinney courier-gazette. (McKinney, Tex.) 1965-1983,"" Chronicling America, accessed July 19, 2016. David Minor, ""McKinney, TX,"" Handbook of Texas Online, accessed July 19, 2016. ""A Guide to the Walter B. Wilson Collection, 1895-1939,"" Brisco Center for American History, accessed July 19, 2016. J. Lee Stambaugh and Lillian J. Stambaugh, A History of Collin County, Texas (Austin, TX: Texas State Historical Association, 1958), accessed July 19, 2016, eBook. U.S. Census Bureau, ""1920 Census,"" accessed July 19, 2016, PDF.",TheDailyCourierGazette1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, FInally Found by Party of Otter Hunters.""",24th year,,4,July,1921,1921-07-04,,"McKinney, Texas",
74,Huntington (IN) Daily Democrat,"The Daily Democrat (1884, 1886, 1888-97) was a daily newspaper founded by Will R. Emery and Ben F. Biliter out of Huntington, Indiana. It was originally just a campaign paper, hence its periodic issuing, but after the 1888 elections, the proprietors decided to continue the paper, which was combined with the Daily News to become the Daily News-Democrat. Huntington was known for its limestone quarrying at this time, and had a population of 7,328 in 1890.","Biographical Memoirs of Huntington County, Ind. (Chicago: B. F. Bowen, 1901), accessed June 19, 2016, eBook. Indiana Historical Bureau, ""The ‘Lime City,’"" in.gov, accessed June 19, 2016, PDF. U.S. Census Bureau, ""1890 Census,"" accessed June 17, 2016, PDF.",TheDailyDemocrat1891_Feb7,newspaper-article,,"""A Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years.""","5,",262,7,February,1891,1891-02-07,,"Huntington, Indiana",
74,Huntington (IN) Daily Democrat,"The Daily Democrat (1884, 1886, 1888-97) was a daily newspaper founded by Will R. Emery and Ben F. Biliter out of Huntington, Indiana. It was originally just a campaign paper, hence its periodic issuing, but after the 1888 elections, the proprietors decided to continue the paper, which was combined with the Daily News to become the Daily News-Democrat. Huntington was known for its limestone quarrying at this time, and had a population of 7,328 in 1890.","Biographical Memoirs of Huntington County, Ind. (Chicago: B. F. Bowen, 1901), accessed June 19, 2016, eBook. Indiana Historical Bureau, ""The ‘Lime City,’"" in.gov, accessed June 19, 2016, PDF. U.S. Census Bureau, ""1890 Census,"" accessed June 17, 2016, PDF.",TheDailyDemocrat1891_Feb10,newspaper-article,,"""A Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years.""","5,",264,10,February,1891,1891-02-10,,"Huntington, Indiana",
75,Sacramento (CA) Daily Democratic State Journal,"The Daily Democratic State Journal (1853-1858) was a morning paper founded in Sacramento, California, by V.E. Geiger and Co. After a crippling fire in the printing office, the paper changed ownership and editorship no less than five times, until it was given up for good. Sacramento itself, newly incorporated as a city in 1850, was devastated throughout the decade by fires, floods, and cholera. Despite this, the population was quickly growing, reaching upwards of 10,000 in the early ’50s. The Daily Democratic State Journal was the only newspaper at the time to feature a foreign language (French) column for this expanding population.","""California History: Old Sacramento-Walking on History,"" Legends of America, accessed  February 28, 2016. ""City History,"" bycitylight.com, accessed February 28, 2016. William L. Willis, History of Sacramento County California (Los Angeles: Historic Record Company, 1913), accessed February 28, 2016, eBook.",DailyDemocraticStateJournal1853,newspaper-article,,"""The Wild Indian Woman.""","3,",201,13,October,1853,1853-10-13,V.E. Geiger & Co.,"Sacramento, California",
102,San Francisco Evening Bulletin,"The Daily Evening Bulletin (1855-95) was a daily newspaper founded by James King of William out of San Francisco. The newspaper’s unrelenting attacks on everyone and everything wrong with the city generated a circulation of 3,500, the largest in the city, within two months of being in print. The bold reporting ultimately led to the founder’s death, however, when King published an article about James Casey, an ex-convict turned city supervisor, and Casey fatally shot King in response. The paper continued to flourish long after King’s death, however, benefitting from San Francisco’s rapid growth during the gold rush. The city had a population of 56, 802 in 1860.","""About Daily evening bulletin. (San Francisco [Calif.]) 1855-1895,"" Chronicling America, accessed 10 March 2016. Charles F. Adams, Murder by the Bay (Sanger, California: Word Dancer Press, 2005), accessed 10 March 2016, eBook. Hank Chapot, ""Unfinished History,"" Shaping San Francisco Digital Archive @ Found, accessed 10 March 2016. ""Historical Census Populations of Counties and Incorporated Cities in California, 1850-2010,"" accessed 1 March 2016, Spreadsheet.",Russell1856_EB3(42),newspaper-article,,"""A California Crusoe.""","3,",42,25,November,1856,1856-11-25,C.O. Gerberding & Co.,"San Francisco, California",
102,San Francisco Evening Bulletin,"The Daily Evening Bulletin (1855-95) was a daily newspaper founded by James King of William out of San Francisco. The newspaper’s unrelenting attacks on everyone and everything wrong with the city generated a circulation of 3,500, the largest in the city, within two months of being in print. The bold reporting ultimately led to the founder’s death, however, when King published an article about James Casey, an ex-convict turned city supervisor, and Casey fatally shot King in response. The paper continued to flourish long after King’s death, however, benefitting from San Francisco’s rapid growth during the gold rush. The city had a population of 56, 802 in 1860.","""About Daily evening bulletin. (San Francisco [Calif.]) 1855-1895,"" Chronicling America, accessed 10 March 2016. Charles F. Adams, Murder by the Bay (Sanger, California: Word Dancer Press, 2005), accessed 10 March 2016, eBook. Hank Chapot, ""Unfinished History,"" Shaping San Francisco Digital Archive @ Found, accessed 10 March 2016. ""Historical Census Populations of Counties and Incorporated Cities in California, 1850-2010,"" accessed 1 March 2016, Spreadsheet.",Warner1856_EB,newspaper-article,"Warner, Juan José.","""Further Particulars of the California Crusoe.""","3,",69,27,December,1856,1856-12-27,C.O. Gerberding & Co.,"San Francisco, California",
76,Marysville (CA) Daily Evening Herald,"The Daily Evening Herald (1853-54) was started by Taylor, Massett and Company out of Marysville, Yuba County, California. R.H. Taylor started the original Herald as a triweekly paper in 1850. After its brief stint as an evening paper, the Herald switched the paper to a morning edition until its end in 1858. Marysville was a new mining city when the paper originated, and Yuba County as a whole had a population of 22,005 in 1852.","""About Daily Evening Herald. Volume (Marysville, Yuba County, Calif.) 1853-1854,"" Chronicling America, accessed February 28, 2016. Peter J. Delay, History of Yuba and Sutter Counties, California with Biographical Sketches (Los Angeles: Historic Record Company, 1924), accessed February 28, 2016, eBook.",DailyEveningHerald1853,newspaper-article,,"""The Wild Woman of California.""","4,",76,3,November,1853,1853-11-03,,"Marysville, California.",
