,"Publication Title 

(Do not put <i> or </i>)",Source Note,Source Note Citation Information,Documents,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

book-entire, book-chapter/section, book-edition, book-pamphlet, book-report/report section, journal-article, magazine-article, newspaper-article, newspaper-figure, newspaper-supplement-article, newspaper-newsletter-article, review-book, review-film, review-sound recording-transcription, personal communication, thesis/dissertation, manuscript, blog/website",Author Name,Article Title,Volume Number,Issue Number,Day,Month,Year,Standardized Date (yyyy-mm-dd),"Publisher 

(required for monograph)","Place of Publication

for maps on website

also for browse by publication location feature",Editor
id,publicationtitle,note,bibl,documents,,,,,,,,,,,,
159,Altoona (PA) Morning Tribune,"The <i>Morning Tribune</i> (1873-1913) was a daily newspaper founded by Henry C. Dern and E. B. McCrum out of Altoona, Pennsylvania. Dr. Hugh Pitcairn replaced McCrum in 1876. Dern and Pitcairn remained in charge of the paper until Dern’s death in 1899. It is unclear who took over the paper after this point. In 1911, the <i>Tribune</i> had a circulation of 7,500. Altoona is located in central Pennsylvania, and most of its industries revolved around the railroad, such as manufacturing engines and cars.","""About Morning tribune. (Altoona, Pa.) 1873-1913,"" <i>Chronicling America</i>, accessed June 26, 2016. Charles B. Clark, <i>A History of Blair County, Pennsylvania</i> (Altoona, PA: author, 1896), accessed June 26, 2016, eBook. Edward P. Remington, <i>Annual Newspaper Directory</i> (New York: Edward P. Remington Newspaper Advertising, 1911), accessed June 26, 2016, eBook.""Henry C. Dern,"" <i>Morning Tribune</i>, September 9, 1903, accessed June 26, 2016.","MorningTribune1896
MorningTribune1913","newspaper-article
newspaper-article",,"""The Channel Islands. An Expediation Now Making a Thorough Explanation of Them. The Mystery Of The Group. Lost Woman of San Nicolas the Last of Her Race--Skeletons of Giants Where History Is as Yet Unknown. The Golgotha In The Pacific."" 
""An Island Mystery."" ","22, 
N/A","178
N/A","7
2","October
Jan","1896
1913","Wed Oct 07 1896 08:00:00 GMT+0300 (EAT)
Thu Jan 02 1913 08:00:00 GMT+0300 (EAT)",,"Altoona, Pennsylvania
Altoona, Pennsylvania",
161,Mount Carmel (PA) Item,"The <i>Mount Carmel Item</i> (1902-68) was a daily newspaper founded by William Penn Kemble out of Mount Carmel, Pennsylvania. Kemble remained in charge of the <i>Item</i> through the early 1920s. Mount Carmel (pop. 17,469 in 1920) was known for its coal mining. The <i>Item</i> was merged with the <i>News</i> in 1968 to form the <i>News-Item</i>.","""About The item. (Mount Carmel, Pa.) 1967-1968,"" <i>Chronicling America</i>, accessed July 24, 2016. ""Newspapers of Mount Carmel,"" <i>Coal Region Notebook</i>, accessed July 24, 2016. <i>Reports of Officers to Sity-sixth Session of the International Typographic Union</i> (Indianapolis, IN: Hollenbeck, 1922), accessed July 25, 2016, eBook. Suzie Nestico, ""Coal Cracker?,"" <i>Coal Cracker Classroom,</i> accessed July 24, 2016. U.S. Census Bureau, ""1920 Census,"" accessed July 24, 2016, PDF.",MountCarmelItem1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters."" ","33, ",209,7,July,1921,1921-07-07,,"Mount Carmel, Pennsylvania",
206,Mount Kisco (NY) Recorder,"The <i>Mount Kisco Recorder</i> (1874-1940) was a weekly newspaper founded by William A. Miller out of Mount Kisco, New York. It was the combination of the <i>Katonah Sentinel</i>, Katonah Recorder</i>, and <i>Mount Kisco Courier</i>. Frank Dromgoole took over the paper in 1882. Tile and brick manufacturing were the main industries in Kisco (pop. 1,095 in 1890) in the late nineteenth century."," ""About Mount Kisco recorder. (Mt. Kisco, Westchester County, N.Y.) 1874-1940,"" <i>Chronicling America</i>, accessed June 17, 2016. E. Clarence Hyatt, <i>History of Mount Kisco</i> (n.p.: n.p., 1893), accessed June 17, 2016, eBook. J. Thomas Scarf, <i>History of Westchester County, New York</i> (Philadelphia: L. E. Preston, 1886), accessed June 17, 2016, eBook. <i>N.W. Ayer & Son’s American Newspaper Annual</i> (Philadelphia: N.W. Ayer & Son, 1885), accessed June 17, 2016, eBook. U.S. Census Bureau, ""1890 Census,"" accessed June 17, 2016, PDF.",TheRecorder1887,newspaper-article,,"""A Mountain Mystery. The Strange Apparition Seen by Two Veracious California Hunters."" ","13, ",44 (whole no. 665) ,11,February,1887,1887-02-11,,"Mount Kisco, New York ",
174,New Hampshire Sentinel,"The <i>New Hampshire Sentinel</i> (1799-current) is a weekly newspaper founded by John Prentiss out of Keene, New Hampshire. Prentiss was 21 when he started the paper, which had just 70 subscribers at the onset. He accepted various forms of household goods as payment. The paper switched owners multiple times after Prentiss’ retirement in 1849 until his grandson William H. Prentiss purchased the paper in 1880. During its earliest years, the <i>New Hampshire Sentinel</i> was identified first as a Federalist, then as a Whig and Republican paper. The <i>Sentinel</i> had a circulation of 3,800 in 1878. Keene (pop. of 6,786 in 1880)  had prominent chair making and milling industries.","John Weeks Moore, <i>Moore’s Historical, Biographical, and Miscellaneous Gatherings</i> (Concord, NH: Republican Press, 1886), accessed June 13, 2016, eBook. Keene History Committee, <i>""Upper Ashuelot""</i> (Keene: City of Keene, N.H., 1968), accessed June 13, 2016, eBook. New England Historic Genealogical Society Staff, <i>The New England Historical and Genealogical Register</i> (n.p.: Heritage Books, 1995), accessed June 13, 2016, eBook. <i>Pettengill’s Newspaper Directory</i> (New York: S. M. Pettengill, 1878), accessed June 13, 2016, eBook. Simon Goodell Griffen, <i>A History of the Town of Keene</i> (Keene, NH: Sentinel, 1904), accessed June 13, 2016, eBook.",NewHampshireSentinel1885,newspaper-article,,"""A Feminine Crusoe."" ","87, ",23,10,June,1885,1885-06-10,,"Keene, New Hampshire",
168,New York Evening Express,"The <i>New York Evening Express</i>  (1836-81) was a Whig newspaper that was founded in 1836 by brothers James and Erastus Brooks. It was noted for its hotel lists (lists of guests staying in local hotels) and political news, and especially its impossibly fast election results. Once, the <i>Express</i> went so far as to hire a boat which it outfitted with a press so that by the time it travelled from the state capital in Albany, where the results were announced, to New York City, newspapers with the election returns were ready for sale. Circulation of penny press papers like the <i>Express</i> increased in New York City, during mid-century, reaching around one paper for every five citizens in 1850. The paper switched political alliances in the early 1850s from the Whig to the Know-Nothing Party, but switched again to a Democratic paper as the former party dissolved. After the brothers’ deaths, the paper was sold and merged with another paper in 1881, to become the <i>Evening Mail and Express</i>.","""About New York evening express. (New York, [N.Y.)] 1839-1881,"" <i>Chronicling America</i>, accessed February 9, 2016. Frank Luther Mott, <i>American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940</i> (New York: Macmillan, 1941), 290. Editors of the Encyclopedia Britannica, ""Know-Nothing party,"" <i>Encyclopedia Britannica</i>, accessed February 9, 2016. ""History of America Journalism Statistics,"" Shmoop, accessed February 9, 2016. George Ripley and Charles Anderson Dana. <i>The New American Clyclopædia: A Popular Dictionary of General Knowledge, Volume 12</i> (New York: D. Appleton, 1869), accessed February 9, 2016, eBook. James Grant Wilson, <i>The Memorial History of the City of New-York: From Its First Settlement to the Year 1892, Volume 4</i> (New York: New York History, 1893) February 9, 2016, eBook.",NewYorkEveningExpress1847,newspaper-article,,"""A Female Crusoe."" ",,,8,January,1847,1847-01-08,,"New York, New York",
169,New York Herald,"The <i>New York Herald</i> (1835-1924) is a daily newspaper founded by James Gordon Bennett out of New York City. Bennett was a revolutionary in the newspaper business, as he founded one of the first penny papers, and changed the way local, foreign, and economic news were reported. His son of the same name took over in 1866, and was just as unconventional as his father. However, Bennett Jr. was much more frivolous with his spending, which eventually contributed to the paper failing. The paper commanded a circulation of around 150,000 in the 1870s, and reached its apex in 1885, with a circulation of 190,500.","Editors of the Encyclopedia Britannica, ""New York Herald,"" <i> Encyclopedia Britannica,"" accessed March 27, 2016. Frank Luther Mott, <i>American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940</i> (New York: The Macmillan Company, 1941). Michael Schudson, <i>Discovering the News</i>, (New York: Basic Books, 1978), print.","NewYorkHerald1879
Miller1891
NewYorkHerald1896","newspaper-article
newspaper-article
newspaper-article","N/A
Miller, Joaquin. 
N/A","""A Female Crusoe."" 
""Mrs. Robinson Crusoe of California. De Foe's Hero Outdone by an Heroic Indian Woman of Cunning Intelligence. Twenty-five years alone. Joaquin Miller's Quaint Sketch of the Lonely Denizen of an Island Off the Western Coast."" 
""Isles of Mystery. Mementos of a Dead Past and an Extinct Race in the Pacific. The Channel Islands. Thoroughly Explored at Last by Professor Charles Frederick Holden. San Nicolas' Lone Woman. Remains That Tell of an Interesting Tribe of Aesthetic Tastes."" ",,"15,516
116 (19,970?)
22,007","14
26
22","February
April
November","1879
N/A
1896","Fri Feb 14 1879 07:56:02 GMT+0300 (EAT)
Sun Apr 26 1891 08:00:00 GMT+0300 (EAT)
Sun Nov 22 1896 08:00:00 GMT+0300 (EAT)",,"New York, New York
New York, New York
New York, New York",
171,New York Press,"The <i>New York Press</i> (1887-1916) was a daily newspaper out of New York City. Henry L. Einstein was the owner from 1895 until Frank Munsey bought the paper in 1912; Munsey wanted a morning daily to support Theodore Roosevelt in the 1912 election. Erwin Wardman was the editor in the late 1890s, and he is credited with first printing the phrase ""yellow journalism"" to describe the sensational news reporting of rival papers, the <i>New York Journal</i> and the <i>New York World</i>. Munsey folded the <i>New York Press</i> into the New York <i>Sun</i> in 1916.","Editors of Encyclopedia Britannica, ""New York Sun,"" <i>Encyclopedia Britannica</i>, accessed July 3, 2016. Kevin O’Keefe, <i>A Thousand Deadlines</i> (The Hauge, Netherlands: Martinus Nijhoff, 1972), accessed July 3, 2016, eBook. <i>The Outlook, Volume CII</i> (New York: Outlook, 1912), accessed July 3, 2016, eBook. W. Joseph Campbell, ""Yellow Journalism: A Sneer is Born,"" <i>Media Myth Alert</i>, accessed July 3, 2016.",TheNewYorkPress1901,newspaper-article,,"""To Explore the Strange Island of San Nicolas: An Expedition from the University of California Will Visit the Gruesome Land That is Spread Over with Skulls and Thighbones of a Lost Race.""","14, ","5,065",13,October,1901,1901-10-13,,"New York, New York ",
338,New York Recorder,"The <i>New York Recorder</i> (1891-96) was a daily newspaper out of New York City; George Turner was the original proprieter and Eliza Putnam Heaton was the editor of the women’s page, for which it was well known. In 1893, the <i>Recorder</i> became the first American newspaper to publish advertisements and comics in color; however other newspapers, followed soon after. The paper was folded into the <i>New York Tribune</i> in 1896.","Abigail Scott Duniway, ""‘Woman in Journalism’ – Circa February-October, 1897,"" <i>The Collected Speeches of Abigail Scott Duniway (1834-1915)</i>, accessed January 9, 2017. ""About The Evening recorder. (New York, N.Y.) 1896-1896,"" <i>Chronicling America</i>, accessed January 9, 2017. Bill Lucey, ""162 Years Ago, The New York Times Began Publishing,"" <i> NewspaperAlum</i>, September 18, 2013, accessed January 9, 2017, http://www.newspaperalum.com/2013/09/162-years-ago-the-new-york-times-began-publishing.html. ""Some of George Turner’s Cold-Bloodedness,"" <i>The Newsman</i>, 8, no.11, November 1891, accessed January 9, 2016, eText.",NewYorkRecorder1893,newspaper-article,"[James M. Gibbons],","""A Feminine Crusoe. She Lived Seventeen Years Alone On San Nicolas Island. Rescued to Die the Sooner. A Strange Story of ""Juana Maria Better-Than-Nothing's"" Adventures on a Desert Island,""","6,",no. 960,8,October,1893,1893-10-08,,"New York, New York",
166,New York Times,"The <i>New York Times</i> (1851-present) was originally a daily Whig newspaper founded in New York City by Henry J. Raymond (editor), George Jones, and Edward B. Wesley. They saw an opening for a penny paper covering foreign and local news, but after a year had to raise the price to two cents to cover their expenses. The paper’s circulation was around 26,000 at the time of the increase, dipped after it, but soon recovered. As the Republican Party came into prominence in the mid 1850s, the paper switched allegiances. The paper kept up and improved its circulation through the 1870s, but started on a hard and fast decline after, until Adolph Ochs took over the paper in 1893. The paper at this time had a circulation of 9,000 and was losing money, but Ochs brought it out of its slump, steadily increasing circulation through the next 25 years of his management.","Frank Luther Mott, <i>American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940</i> (New York: Macmillan, 1941), 278-81, 428-29, 549-51.",Goliah1853_NYDT,newspaper-article,Goliah.,"""A Female Robinson Crusoe.""","3,",659,28,October,1853,1853-10-28,,"New York, New York",
172,New York Times,"The <i>New York Times</i> (1851-present) was originally a daily Whig newspaper founded in New York City by Henry J. Raymond (editor), George Jones, and Edward B. Wesley. They saw an opening for a penny paper covering foreign and local news, but after a year had to raise the price to two cents to cover their expenses. The paper’s circulation was around 26,000 at the time of the increase, dipped after it, but soon recovered. As the Republican Party came into prominence in the mid 1850s, the paper switched allegiances. The paper kept up and improved its circulation through the 1870s, but started on a hard and fast decline after, until Adolph Ochs took over the paper in 1893. The paper at this time had a circulation of 9,000 and was losing money, but Ochs brought it out of its slump, steadily increasing circulation through the next 25 years of his management.","Frank Luther Mott, <i>American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940</i> (New York: Macmillan, 1941), 278-81, 428-29, 549-51.","NewYorkTimes1879
NewYorkTimes1895","newspaper-article
newspaper-article",,"No title.
""On An Isle of Skulls Once the Home of a Vigorous Race of Indians. Filled with Scientific Treasures The Last Survivor on the Channel Islands, Off the California Coast, Has Now Been Dead Over Forty Years.""",,,"3
1","March
December","1879
1895","Mon Mar 03 1879 07:56:02 GMT+0300 (EAT)
Sun Dec 01 1895 08:00:00 GMT+0300 (EAT)",,"New York, New York
New York, New York",
173,New-Bedford (MA) Mercury,"The <i>New-Bedford Mercury</i> (1807-95), out of the whaling town of New Bedford, Massachusetts, was a weekly paper founded by Benjamin Lindsey. It remained under Lindsay until his son, also Benjamin Lindsay, took over in 1831. Lindsay, Jr. added a daily paper in addition to the weekly to increase circulation, which was successful. The <i>Mercury</i> had no competition during this time and kept current subscribers by informing them of all the comings and goings of the ships in the area. Newly incorporated as a city in 1847, New Bedford was prosperous with a population of 16,000. Whaling was the main industry here, and brought great success economically. The paper originally had Federalist tendencies, but then, at various times, leaned toward the Whig and Republican parties.","""About New-Bedford Mercury. (New-Bedford, Mass.] 1807-1895,"" <i>Chronicling America</i>, accessed February 9, 2016. Augustus C. Rogers, <i>United States Diplomatic and Consular Service</i>, (New York: Atlantic, 1874), accessed February 9, 2016, eBook. Zeph W. Pease, <i>History of New Bedford, Volume 3</i>, (Lenox, MA: Hardpress Publishing, 2012), accessed February 9, 2016, eBook.",NewBedfordMercury1847,newspaper-article,,"""A Female Crusoe."" ","40, ","4 (whole no. 2,052) ",15,January,1847,1847-01-15,,"Bedford, Massachusetts",
175,"Newbernian (New Bern, NC)","The <i>Newbernian</i> (1876-?) was a weekly Democratic newspaper founded by George A. Latham out of New Bern, North Carolina. The town was primarily agricultural at this time, although it was also known as a prominent seaport. Now it is renowned for being the birthplace of Pepsi-Cola (1898).","About The Newbernian. (Newbern, N.C.) 1876-18??"" <Chronicling America</i>, accessed March 29, 2016. <i>George P. Rowell & Co.’s American Newspaper Directory</i> (New York: George P. Rowell, 1880), accessed March 27, 2016, eBook. ""New Bern, North Carolina,"" <i>North Carolina History</i>, accessed March 27, 2016.",TheNewbernian1879,newspaper-article,,"""A Female Crusoe."" ","7, ",12,22,March,1879,1879-03-22,,"New Bern, North Carolina",
